ISSN,journal_title,publisher,URL,data_journal_type
2709-4715,Gigabyte,BGI and Oxford University Press,https://gigabytejournal.com/,pure
2572-4754,Gates Open Research,F1000Research,https://gatesopenresearch.org/,mixed
2732-5121,Open Research Europe,F1000Research,https://open-research-europe.ec.europa.eu/,mixed
2363-4952,RIDE - A review journal for digital editions and resources,Institut für Dokumentologie und Editorik,https://ride.i-d-e.de/,pure
2059-481X,Journal of Open Humanities Data,Ubiquity Press,https://openhumanitiesdata.metajnl.com/,pure
2296-7745,Frontiers in Marine Science,Frontiers,https://www.frontiersin.org/journals/marine-science,mixed
2054-345X,Human Genome Variation,Springer Nature,https://www.nature.com/hgv/,mixed
2032-6378,Journal of Astronomical Data,Vrije Universiteit Brussel,http://journalofastronomicaldata.be/,pure
1297-966X,Annals of Forest Science,BioMed Central (Springer Nature),https://annforsci.biomedcentral.com/,mixed
0092-640X,Atomic Data and Nuclear Data Tables,Elsevier,https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables,pure
1314-2828,Biodiversity Data Journal,Pensoft Publishers,https://bdj.pensoft.net/,mixed
2242-1300,BioInvasions Records,Regional Euro-Asian Biological Invasions Centre,https://www.reabic.net/journals/bir/,mixed
2042-6410,Biology of Sex Differences,BioMed Central (Springer Nature),https://bsd.biomedcentral.com/,mixed
1471-2253,BMC Anesthesiology,BioMed Central (Springer Nature),https://bmcanesthesiol.biomedcentral.com/,mixed
1471-2105,BMC Bioinformatics,BioMed Central (Springer Nature),https://bmcbioinformatics.biomedcentral.com/,mixed
1741-7007,BMC Biology,BioMed Central (Springer Nature),https://bmcbiol.biomedcentral.com/,mixed
1472-6750,BMC Biotechnology,BioMed Central (Springer Nature),https://bmcbiotechnol.biomedcentral.com/,mixed
1471-2407,BMC Cancer,BioMed Central (Springer Nature),https://bmccancer.biomedcentral.com/,mixed
1471-2261,BMC Cardiovascular Disorders,BioMed Central (Springer Nature),https://bmccardiovascdisord.biomedcentral.com/,mixed
2661-801X,BMC Chemistry,BioMed Central (Springer Nature),https://bmcchem.biomedcentral.com/,mixed
1472-6882,BMC Complementary and Alternative Medicine,BioMed Central (Springer Nature),https://bmccomplementmedtherapies.biomedcentral.com/,mixed
